File summary (Tue Aug 14 20:59:59 2018)
---------------------------------------

Filename	Class	TestId (can be used as param to AllTests)	Number of Tests	Number of Suites	Number of manual Suites	Parent Class	has JUnit-BEGIN
../src/test/edu/internet2/middleware/grouper/hooks/AttributeHooksTest.java	AttributeHooksTest	hooks.AttributeHooksTest	9	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hooks/CompositeHooksTest.java	CompositeHooksTest	hooks.CompositeHooksTest	6	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hooks/ESCOGroupHooksTest.java	ESCOGroupHooksTest	hooks.ESCOGroupHooksTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hooks/ExternalSubjectHooksTest.java	ExternalSubjectHooksTest	hooks.ExternalSubjectHooksTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hooks/FieldHooksTest.java	FieldHooksTest	hooks.FieldHooksTest	6	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hooks/GroupHooksAddTypePostCommitTest.java	GroupHooksAddTypePostCommitTest	hooks.GroupHooksAddTypePostCommitTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hooks/GroupHooksAddTypeTest.java	GroupHooksAddTypeTest	hooks.GroupHooksAddTypeTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hooks/GroupHooksDbVersionTest.java	GroupHooksDbVersionTest	hooks.GroupHooksDbVersionTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hooks/GroupHooksTest.java	GroupHooksTest	hooks.GroupHooksTest	9	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hooks/GroupHookUniqueTest.java	GroupHookUniqueTest	hooks.GroupHookUniqueTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hooks/GroupTypeHooksTest.java	GroupTypeHooksTest	hooks.GroupTypeHooksTest	6	0	0	GrouperTest	0
